person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Octavia Marin,octaviamarin,octaviamarin@acasa.ro,7170821044401,2016-10-30,"Intrarea Dumitrescu Nr. 176 Bl. 80  Sc. 27 Ap. 703, Dragu-Brad, 571005",0772 147 992,f8:b5:85:42:e3:57,220.10.95.112,RO96ORMP3503490426043383,2025-04-02 00:53:47,5181,360,301,187412,7231f226-211c-4127-8720-387afe940489
Marcu Oprea,marcuoprea,marcuoprea@kappa.ro,1600707369009,1963-06-29,"Drumul Nistor Nr. 941, Sighisoara, 611304",0263 756 053,de:c9:80:2f:f0:82,195.176.234.23,RO17GYRG3378168876142193,2025-04-02 00:53:47,10266,622,159,1645435,f6e7297b-4a2f-4413-9b1b-6fac3e163154
Teodosia Marin,teodosiamarin,teodosiamarin@acasa.ro,7360302072774,1967-04-09,"Bulevardul Constantina Tomescu, Stei, 180479",0731 090 047,bc:76:4b:c2:58:68,29.35.219.138,RO69KJVZ4481758368444235,2025-04-02 00:53:47,32906,371,283,480184,705cfbb4-824d-4f56-94f2-347bad011d44
Claudia Mazilescu,claudiamazilescu,claudiamazilescu@kappa.ro,7530825405301,1979-12-09,"Strada Marin Nr. 34 Bl. 29  Sc. 80 Ap. 867, Adjud, 607273",0232 105 195,82:29:91:64:0e:d1,22.150.45.233,RO67WYCK6380265165480751,2025-04-02 00:53:47,23522,128,465,167051,8b874ee8-1710-47f0-8680-b34d8d6e4f60
Liliana Voinea,lilianavoinea,lilianavoinea@kappa.ro,3460905074822,1971-10-04,"Drumul Gheorghiu Nr. 315 Bl. 73  Sc. 89 Ap. 527, Sangeorgiu de Mures, 382806",0772 538 693,ec:1f:0a:45:0a:80,161.58.3.102,RO88IPMD1998668173775637,2025-04-02 00:53:47,14363,298,593,1819202,30deb507-fe50-4d0e-adbb-05ae864eccdd
Alexandrina Cristea,alexandrinacristea,alexandrinacristea@zzup.ro,6311130390850,1974-08-30,"Strada Dochioiu, Eforie Nord, 774588",0758 554 865,92:7e:42:f3:b4:b3,105.121.152.140,RO33JISZ5724313274656167,2025-04-02 00:53:47,1334,364,486,246576,f7d966d7-1176-4e58-b437-c503c39606c6
Cosmin Popescu,cosminpopescu,cosminpopescu@kappa.ro,4670323404746,2024-07-12,"Soseaua Clara Stancu Nr. 836 Bl. 58  Sc. 88 Ap. 669, Glina, 266638",0244 821 064,ac:53:59:d7:9e:af,79.16.170.137,RO77TXNK1801213601550179,2025-04-02 00:53:47,34947,856,577,508649,5e9c51c8-659a-440b-b4d7-55f3c764d7bc
Amza Mazilescu,amzamazilescu,amzamazilescu@email.ro,7501126112803,1934-02-02,"Soseaua Despina Ardelean Nr. 389, Oituz, 764321",0250 707 355,7e:d9:d4:fa:da:34,32.62.195.189,RO25KQOJ4051349801306401,2025-04-02 00:53:47,12975,929,334,1240624,b2543cf4-a00c-4ff8-a064-1d87b00c52be
Cosmina Nemeș,cosminanemeș,cosminanemeș@141.ro,8371026011084,1930-07-03,"Intrarea Albu Nr. 41 Bl. 94  Sc. 78 Ap. 462, Topoloveni, 467016",0231 102 858,1a:f8:a1:1c:38:15,184.117.182.166,RO08ZXES2745502947944697,2025-04-02 00:53:47,33683,576,763,1342849,1add1a41-094a-4708-ba14-983c94f59cf0
Codrin Voinea,codrinvoinea,codrinvoinea@gmail.com,6950605416441,1948-03-09,"Aleea Eftimie, Raducaneni, 416234",0243 011 737,a0:ff:ac:fb:16:5b,200.44.15.9,RO35USMI3439172700244239,2025-04-02 00:53:47,31520,325,704,1777578,36b85c34-6703-4442-9717-c6ff5733709e
