person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Sidonia Albu,sidoniaalbu,sidoniaalbu@zzup.ro,6840210382839,1915-02-22,"Soseaua Dumitrescu, Greci, 832956",0246 802 638,e0:66:6c:93:8a:0b,67.126.20.194,RO79BXWL6154915271347968,2025-04-07 23:24:47,29796,100,387,347620,337eebf9-caed-436d-88b1-4dfddb45d862
Darius Dima,dariusdima,dariusdima@kappa.ro,2630414448229,1990-03-08,"Intrarea Barbu Nr. 133, Gheorgheni, 806766",0750 133 391,d6:44:72:d4:ff:4b,23.146.82.83,RO89NSOA8143039851233269,2025-04-07 23:24:47,15114,305,5,1577605,4c79ee9c-350f-48ba-87ba-8328ca594373
Șerban Georgescu,șerbangeorgescu,șerbangeorgescu@email.ro,8180808321649,1930-02-16,"Strada Toma, Corund, 541509",0742 470 254,20:47:9e:e6:a1:1d,156.119.116.138,RO38LFQL1542374558736467,2025-04-07 23:24:47,10843,784,39,1926891,4f9d9629-b094-440b-b2f4-6aa376e74f5b
Theodor Florea,theodorflorea,theodorflorea@post.ro,7470324246091,1967-06-07,"Soseaua Norbert Voinea Nr. 902 Bl. 99  Sc. 38 Ap. 807, Targu Frumos, 371321",0764 798 458,0c:6b:48:ff:c9:92,196.159.6.87,RO30YDGV1194683816184603,2025-04-07 23:24:47,30824,993,31,1598274,d09ca07d-c852-4762-8176-2b870688524a
Ofelia Diaconu,ofeliadiaconu,ofeliadiaconu@zzup.ro,1090413289851,1934-01-20,"Aleea Marin, Vicovu de Sus, 794551",0780 588 938,67:44:ce:16:26:a3,66.146.238.128,RO58OSTL5113596354163995,2025-04-07 23:24:47,27357,186,601,1992391,2fe9bef4-e606-4829-bb52-c66f0be94cb8
Theodor Albu,theodoralbu,theodoralbu@141.ro,5570619409136,1953-10-01,"Aleea Diaconescu, Alexandria, 508610",0767 002 648,ed:d8:c0:0c:24:af,50.249.122.31,RO47KLOE4869364386568833,2025-04-07 23:24:47,29084,346,308,489401,5bd4b735-4521-48bb-9f33-2b0d48006327
Pătru Aanei,pătruaanei,pătruaanei@acasa.ro,3771231342001,1943-12-26,"Strada Oprea Nr. 131, Gilau, 459285",0265 928 924,27:84:fc:9d:21:82,163.76.25.90,RO68ADEX3305756705229112,2025-04-07 23:24:47,19466,884,209,13899,85787c4c-e52c-427c-8e1a-2774cdbe33e7
Steluța Aanei,steluțaaanei,steluțaaanei@141.ro,1520501159674,1942-08-06,"Bulevardul Nemeș Nr. 52, Vicovu de Sus, 782568",0771 367 745,0c:fa:f5:fd:91:01,189.13.64.87,RO17ZGJB4076963227624999,2025-04-07 23:24:47,28884,199,184,1648235,339135d6-118b-4e13-9fb5-b57870b5c32a
Maia Toma,maiatoma,maiatoma@kappa.ro,4951116196513,1988-06-22,"Drumul Toma Nr. 46 Bl. 67  Sc. 68 Ap. 841, Calan, 876702",0739 507 868,41:88:7e:44:6e:69,106.251.197.66,RO05LVRJ1776415153913316,2025-04-07 23:24:47,31291,813,313,785456,9546056c-8531-4552-87e6-7fd914cd9be8
Leana Ene,leanaene,leanaene@zzup.ro,7110105288437,1949-10-30,"Strada Claudia Nemeș, Techirghiol, 376198",0740 523 690,1b:ef:2c:7d:a1:c0,79.121.56.32,RO70BKTH3951508035627200,2025-04-07 23:24:47,29489,245,774,1968930,9159db30-735f-49be-bcb5-1669db244d50
Octaviana Dinu,octavianadinu,octavianadinu@gmail.com,7230905097451,2017-01-01,"Strada Dinu, Vlahita, 496202",0245 212 201,0d:e1:ab:ee:73:1c,5.125.176.107,RO44KNHE4332393652839470,2025-04-07 23:24:47,991,795,73,610036,28205b67-9a9d-4358-86e3-7fbc1204c3dd
Iolanda Ioniță,iolandaioniță,iolandaioniță@zzup.ro,3240529462078,1954-07-24,"Aleea Ionelia Tomescu Nr. 32, Jimbolia, 262672",0245 402 396,0b:10:b1:3d:f8:9b,74.225.116.216,RO67AHZM0275296691630879,2025-04-07 23:24:47,27920,570,658,1282590,cbfdc1ec-b627-4e4f-8b62-1ee3d06338b7
Mihail Gheorghiu,mihailgheorghiu,mihailgheorghiu@email.ro,6310628409630,1927-01-28,"Drumul Ene Nr. 497, Sacueni, 699840",0726 387 460,cf:b3:2e:2a:27:17,9.42.219.63,RO84MRPL4853010109834821,2025-04-07 23:24:47,2931,484,611,703602,000de6f4-c75e-442a-8ccd-00f75b1e4218
Fabia Tomescu,fabiatomescu,fabiatomescu@kappa.ro,4140714370062,1948-09-08,"Bulevardul Didina Dobre, Blaj, 944314",0754 793 873,80:c5:b2:9c:29:3a,105.152.12.177,RO05VJBU2442382085591984,2025-04-07 23:24:47,17932,725,733,1099276,0567fe4f-1a21-4fde-8dd4-bb74f8ce0de7
Grațiana Marin,grațianamarin,grațianamarin@gmail.com,4240915274184,1946-08-28,"Strada Eftimie, Valea lui Mihai, 232213",0788 229 133,12:8d:7a:79:9f:29,33.162.226.103,RO17CAVW2703201137706856,2025-04-07 23:24:47,16201,124,515,258195,b404b214-594d-47cb-96bc-7b30391fc45e
Șerban Stoica,șerbanstoica,șerbanstoica@acasa.ro,7021219219301,1963-11-14,"Intrarea Miron Dumitrescu Nr. 20 Bl. 92  Sc. 40 Ap. 610, Berceni, 623544",0266 188 511,e0:7b:f5:61:94:de,1.132.37.45,RO10JOLP5848413504772429,2025-04-07 23:24:47,34206,624,76,282323,bf699528-bec8-4d5e-b94a-7e1639c6ae86
Cazimir Stănescu,cazimirstănescu,cazimirstănescu@email.ro,4520726071263,2017-01-13,"Strada Voinea Nr. 34 Bl. 58  Sc. 51 Ap. 397, Balotesti, 106008",0760 084 033,ca:d1:66:d0:87:90,122.46.251.180,RO36NLQX2979517798210147,2025-04-07 23:24:47,32696,351,544,522732,4e812a9b-bab6-4667-9045-e4e49b644d7a
Hortensia Georgescu,hortensiageorgescu,hortensiageorgescu@email.ro,6261010261530,2020-01-17,"Strada Dinu Nr. 425, Adjud, 576402",0233 096 872,ba:83:33:74:33:ac,32.196.43.221,RO83QPVQ0324070461562007,2025-04-07 23:24:47,27451,737,450,804282,8dd53e9b-f4a4-4c38-bd2f-3eb771f739f4
Geanina Ioniță,geaninaioniță,geaninaioniță@kappa.ro,2441228170471,2020-10-30,"Drumul Ababei Nr. 117, Bacau, 856042",0732 745 271,3c:56:48:92:c1:30,129.243.161.197,RO23AQLP3185588996671820,2025-04-07 23:24:47,2604,694,652,214794,121f595b-1925-4a08-86b4-bc267f5abca9
Fiodor Niță,fiodorniță,fiodorniță@141.ro,2051215039377,1976-10-25,"Soseaua Tudor, Motatei, 742077",0751 070 205,bf:01:f2:f1:cc:a2,188.74.62.37,RO31MCUX6510875052197862,2025-04-07 23:24:47,8253,644,66,1979748,a3b16bec-8130-478a-82a9-c86a8485037c
Sabrina Eftimie,sabrinaeftimie,sabrinaeftimie@email.ro,3941128513498,1913-10-10,"Strada Florența Dima Nr. 21, Greci, 520398",0249 438 326,2c:4f:65:2f:3a:d4,103.12.196.202,RO04GPMC0869637397027400,2025-04-07 23:24:47,3219,274,140,1250597,e446dc7c-f34e-4a01-96a5-ed57ae3613d4
Marius Nistor,mariusnistor,mariusnistor@kappa.ro,4690308202582,1932-02-21,"Bulevardul Violeta Preda, Targu Secuiesc, 997774",0720 790 531,ee:93:6a:0c:d7:1f,184.16.202.102,RO48LYXK4751226110591308,2025-04-07 23:24:47,13220,933,429,1655470,83b9e8a8-79c4-4381-929d-66a22ef2724c
Domnica Tomescu,domnicatomescu,domnicatomescu@kappa.ro,6450231348204,1909-06-06,"Aleea Popa Nr. 624 Bl. 92  Sc. 66 Ap. 666, Botosani, 683035",0731 615 691,16:d9:a0:37:c1:1e,23.155.50.63,RO89ALYQ3061358972024070,2025-04-07 23:24:47,25230,297,323,334968,b46cf669-7b45-4c93-999b-6b2023673ede
